Generation,DurationScore,UserGroupScore,StartScore,Total
0,0.462,0.632,0.004,0.313
1,0.548,0.758,0.032,0.384
2,0.659,0.847,0.004,0.434
3,0.694,1,0.003,0.479
4,0.731,0.906,0.095,0.512
5,0.784,0.958,0.04,0.521
6,0.794,0.968,0.071,0.54
7,0.813,0.926,0.104,0.552
8,0.818,0.926,0.105,0.555
9,0.804,0.884,0.15,0.558
10,0.808,0.884,0.151,0.56
11,0.813,0.884,0.151,0.562
12,0.811,0.916,0.15,0.568
13,0.808,0.968,0.15,0.577
14,0.808,0.968,0.15,0.577
15,0.811,1,0.151,0.585
16,0.812,1,0.152,0.586
17,0.817,1,0.152,0.587
18,0.82,1,0.152,0.588
19,0.823,1,0.152,0.59
20,0.822,0.999,0.154,0.59
21,0.822,1,0.201,0.609
22,0.822,1,0.203,0.61
23,0.823,1,0.204,0.611
24,0.825,1,0.204,0.611
25,0.825,1,0.211,0.614
26,0.826,0.958,0.279,0.634
27,0.826,0.958,0.28,0.634
28,0.826,0.958,0.307,0.645
29,0.827,0.958,0.307,0.645
30,0.828,1,0.307,0.654
31,0.83,1,0.307,0.655
32,0.831,1,0.307,0.655
33,0.833,1,0.307,0.656
34,0.835,1,0.307,0.657
35,0.837,1,0.307,0.658
36,0.839,1,0.307,0.658
37,0.84,1,0.307,0.659
38,0.845,1,0.307,0.661
39,0.845,1,0.307,0.661
40,0.845,1,0.307,0.661
41,0.845,1,0.307,0.661
42,0.846,1,0.307,0.661
43,0.85,1,0.307,0.663
44,0.85,1,0.309,0.663
45,0.851,1,0.307,0.663
46,0.851,1,0.309,0.664
47,0.852,1,0.309,0.664
48,0.851,1,0.31,0.664
49,0.852,1,0.31,0.665
50,0.853,1,0.31,0.665
51,0.852,1,0.311,0.665
52,0.853,1,0.319,0.669
53,0.853,1,0.358,0.684
54,0.855,1,0.358,0.685
55,0.856,1,0.358,0.685
56,0.858,1,0.358,0.686
57,0.859,1,0.358,0.687
58,0.859,1,0.358,0.687
59,0.86,1,0.358,0.687
60,0.861,1,0.358,0.687
61,0.862,1,0.358,0.688
62,0.863,1,0.358,0.688
63,0.865,1,0.358,0.689
64,0.865,1,0.358,0.689
65,0.865,1,0.358,0.689
66,0.865,1,0.358,0.689
67,0.866,1,0.358,0.689
68,0.866,1,0.358,0.69
69,0.866,1,0.358,0.69
70,0.866,1,0.375,0.696
71,0.866,1,0.375,0.696
72,0.867,1,0.375,0.697
73,0.867,1,0.375,0.697
74,0.87,1,0.375,0.698
75,0.87,1,0.375,0.698
76,0.871,1,0.375,0.698
77,0.871,1,0.376,0.699
78,0.872,1,0.375,0.699
79,0.872,1,0.375,0.699
80,0.873,1,0.376,0.7
81,0.874,1,0.376,0.7
82,0.873,1,0.42,0.717
83,0.873,1,0.42,0.717
84,0.874,1,0.42,0.717
85,0.875,1,0.42,0.718
86,0.874,1,0.424,0.719
87,0.875,1,0.424,0.72
88,0.875,1,0.429,0.722
89,0.876,0.968,0.47,0.732
90,0.877,0.996,0.47,0.738
